a 2 a a 0 a 2 0;0 2 a 0 a a 2 a;a a 2 a 0 2 a 0;0 a 2 0 a 2 a a;a 2 2 0 0 a a a;a a a 0 0 2 2 a;0 2 2 a a a a 0;0 a a a a 2 2 0;Z
0.35182853; -0.35182853;0.35182853; -0.35182853;0.35182848; -0.35182848;0.35182848; -0.35182848;555
0.35182853; -0.35182853;0.35182853; -0.35182853;0.35182848; -0.35182848;0.35182848; -0.35182848;560
0.35182853; -0.35182853;0.35182853; -0.35182853;0.35182848; -0.35182848;0.35182848; -0.35182848;565
0.35182853; -0.35182853;0.35182853; -0.35182853;0.35182848; -0.35182848;0.35182848; -0.35182848;570
0.35182853; -0.35182853;0.35182853; -0.35182853;0.35182848; -0.35182848;0.35182848; -0.35182848;575
0.35182853; -0.35182853;0.35182853; -0.35182853;0.35182849; -0.35182849;0.35182849; -0.35182849;580
0.35182853; -0.35182853;0.35182853; -0.35182853;0.35182849; -0.35182849;0.35182849; -0.35182849;585
0.35182852; -0.35182852;0.35182852; -0.35182852;0.35182849; -0.35182849;0.35182849; -0.35182849;590
0.35182852; -0.35182852;0.35182852; -0.35182852;0.35182849; -0.35182849;0.35182849; -0.35182849;595
0.35182852; -0.35182852;0.35182852; -0.35182852;0.35182849; -0.35182849;0.35182849; -0.35182849;600
