a a 2 a 0 a 2 0;0 a 2 0 a a 2 a;a 2 a a 0 2 a 0;0 2 a 0 a 2 a a;0 2 2 a 0 a a a;a 2 2 0 a a a 0;0 a a a 0 2 2 a;a a a 0 a 2 2 0;Z
0.34626516; -0.34626516;0.34626523; -0.34626523;0.34626683;0.34626687; -0.34626683; -0.34626687;275
0.34626523; -0.34626523;0.34626530; -0.34626530;0.34626676;0.34626679; -0.34626676; -0.34626679;280
0.34626530; -0.34626530;0.34626536; -0.34626536;0.34626670;0.34626673; -0.34626670; -0.34626673;285
0.34626535; -0.34626535;0.34626542; -0.34626542;0.34626664;0.34626667; -0.34626664; -0.34626667;290
0.34626541; -0.34626541;0.34626548; -0.34626548;0.34626659;0.34626662; -0.34626659; -0.34626662;295
0.34626545; -0.34626545;0.34626552; -0.34626552;0.34626654;0.34626658; -0.34626654; -0.34626658;300
0.34626550; -0.34626550;0.34626557; -0.34626557;0.34626650;0.34626653; -0.34626650; -0.34626653;305
0.34626554; -0.34626554;0.34626560; -0.34626560;0.34626646;0.34626649; -0.34626646; -0.34626649;310
0.34626557; -0.34626557;0.34626564; -0.34626564;0.34626643;0.34626646; -0.34626643; -0.34626646;315
0.34626560; -0.34626560;0.34626567; -0.34626567;0.34626639;0.34626643; -0.34626639; -0.34626643;320
0.34626563; -0.34626563;0.34626570; -0.34626570;0.34626637;0.34626640; -0.34626637; -0.34626640;325
0.34626566; -0.34626566;0.34626573; -0.34626573;0.34626634;0.34626637; -0.34626634; -0.34626637;330
0.34626568; -0.34626568;0.34626575; -0.34626575;0.34626632;0.34626635; -0.34626632; -0.34626635;335
0.34626571; -0.34626571;0.34626577; -0.34626577;0.34626629;0.34626633; -0.34626629; -0.34626633;340
0.34626573; -0.34626573;0.34626579; -0.34626579;0.34626627;0.34626631; -0.34626627; -0.34626631;345
0.34626575; -0.34626575;0.34626581; -0.34626581;0.34626626;0.34626629; -0.34626626; -0.34626629;350
0.34626576; -0.34626576;0.34626583; -0.34626583;0.34626624;0.34626627; -0.34626624; -0.34626627;355
0.34626578; -0.34626578;0.34626585; -0.34626585;0.34626622;0.34626626; -0.34626622; -0.34626626;360
0.34626579; -0.34626579;0.34626586; -0.34626586;0.34626621;0.34626624; -0.34626621; -0.34626624;365
0.34626581; -0.34626581;0.34626587; -0.34626587;0.34626620;0.34626623; -0.34626620; -0.34626623;370
0.34626582; -0.34626582;0.34626589; -0.34626589;0.34626618;0.34626622; -0.34626618; -0.34626622;375
0.34626583; -0.34626583;0.34626590; -0.34626590;0.34626617;0.34626621; -0.34626617; -0.34626621;380
0.34626584; -0.34626584;0.34626591; -0.34626591;0.34626616;0.34626620; -0.34626616; -0.34626620;385
0.34626585; -0.34626585;0.34626592; -0.34626592;0.34626615;0.34626619; -0.34626615; -0.34626619;390
0.34626586; -0.34626586;0.34626593; -0.34626593;0.34626614;0.34626618; -0.34626614; -0.34626618;395
0.34626587; -0.34626587;0.34626593; -0.34626593;0.34626614;0.34626617; -0.34626614; -0.34626617;400
0.34626587; -0.34626587;0.34626594; -0.34626594;0.34626613;0.34626616; -0.34626613; -0.34626616;405
0.34626588; -0.34626588;0.34626595; -0.34626595;0.34626612;0.34626616; -0.34626612; -0.34626616;410
0.34626589; -0.34626589;0.34626596; -0.34626596;0.34626612;0.34626615; -0.34626612; -0.34626615;415
0.34626589; -0.34626589;0.34626596; -0.34626596;0.34626611;0.34626614; -0.34626611; -0.34626614;420
0.34626590; -0.34626590;0.34626597; -0.34626597;0.34626610;0.34626614; -0.34626610; -0.34626614;425
0.34626591; -0.34626591;0.34626597; -0.34626597;0.34626610;0.34626613; -0.34626610; -0.34626613;430
0.34626591; -0.34626591;0.34626598; -0.34626598;0.34626609;0.34626613; -0.34626609; -0.34626613;435
0.34626592; -0.34626592;0.34626598; -0.34626598;0.34626609;0.34626612; -0.34626609; -0.34626612;440
0.34626592; -0.34626592;0.34626599; -0.34626599;0.34626608;0.34626612; -0.34626608; -0.34626612;445
0.34626592; -0.34626592;0.34626599; -0.34626599;0.34626608;0.34626611; -0.34626608; -0.34626611;450
0.34626593; -0.34626593;0.34626600; -0.34626600;0.34626608;0.34626611; -0.34626608; -0.34626611;455
0.34626593; -0.34626593;0.34626600; -0.34626600;0.34626607;0.34626611; -0.34626607; -0.34626611;460
0.34626593; -0.34626593;0.34626600; -0.34626600;0.34626607;0.34626610; -0.34626607; -0.34626610;465
0.34626594; -0.34626594;0.34626601; -0.34626601;0.34626607;0.34626610; -0.34626607; -0.34626610;470
0.34626594; -0.34626594;0.34626601; -0.34626601;0.34626606;0.34626610; -0.34626606; -0.34626610;475
0.34626594; -0.34626594;0.34626601; -0.34626601;0.34626606;0.34626610; -0.34626606; -0.34626610;480
0.34626595; -0.34626595;0.34626601; -0.34626601;0.34626606;0.34626609; -0.34626606; -0.34626609;485
0.34626595; -0.34626595;0.34626602; -0.34626602;0.34626606;0.34626609; -0.34626606; -0.34626609;490
0.34626595; -0.34626595;0.34626602; -0.34626602;0.34626605;0.34626609; -0.34626605; -0.34626609;495
0.34626595; -0.34626595;0.34626602; -0.34626602;0.34626605;0.34626609; -0.34626605; -0.34626609;500
0.34626595; -0.34626595;0.34626602; -0.34626602;0.34626605;0.34626608; -0.34626605; -0.34626608;505
0.34626596; -0.34626596;0.34626602; -0.34626602;0.34626605;0.34626608; -0.34626605; -0.34626608;510
0.34626596; -0.34626596;0.34626603; -0.34626603;0.34626605;0.34626608; -0.34626605; -0.34626608;515
0.34626596; -0.34626596;0.34626603; -0.34626603;0.34626605;0.34626608; -0.34626605; -0.34626608;520
0.34626596; -0.34626596;0.34626603; -0.34626603;0.34626604;0.34626608; -0.34626604; -0.34626608;525
0.34626596; -0.34626596;0.34626603; -0.34626603;0.34626604;0.34626608; -0.34626604; -0.34626608;530
0.34626596; -0.34626596;0.34626603; -0.34626603;0.34626604;0.34626607; -0.34626604; -0.34626607;535
0.34626597; -0.34626597;0.34626603; -0.34626603;0.34626604;0.34626607; -0.34626604; -0.34626607;540
0.34626597; -0.34626597;0.34626603; -0.34626603;0.34626604;0.34626607; -0.34626604; -0.34626607;545
0.34626597; -0.34626597;0.34626604; -0.34626604;0.34626604;0.34626607; -0.34626604; -0.34626607;550
0.34626597; -0.34626597;0.34626604; -0.34626604;0.34626604;0.34626607; -0.34626604; -0.34626607;555
0.34626597; -0.34626597;0.34626604; -0.34626604;0.34626603;0.34626607; -0.34626603; -0.34626607;560
0.34626597; -0.34626597;0.34626604; -0.34626604;0.34626603;0.34626607; -0.34626603; -0.34626607;565
0.34626597; -0.34626597;0.34626604; -0.34626604;0.34626603;0.34626607; -0.34626603; -0.34626607;570
0.34626597; -0.34626597;0.34626604; -0.34626604;0.34626603;0.34626607; -0.34626603; -0.34626607;575
0.34626597; -0.34626597;0.34626604; -0.34626604;0.34626603;0.34626606; -0.34626603; -0.34626606;580
0.34626598; -0.34626598;0.34626604; -0.34626604;0.34626603;0.34626606; -0.34626603; -0.34626606;585
0.34626598; -0.34626598;0.34626604; -0.34626604;0.34626603;0.34626606; -0.34626603; -0.34626606;590
0.34626598; -0.34626598;0.34626604; -0.34626604;0.34626603;0.34626606; -0.34626603; -0.34626606;595
0.34626598; -0.34626598;0.34626605; -0.34626605;0.34626603;0.34626606; -0.34626603; -0.34626606;600
0.34626598; -0.34626598;0.34626605; -0.34626605;0.34626603;0.34626606; -0.34626603; -0.34626606;605
0.34626598; -0.34626598;0.34626605; -0.34626605;0.34626603;0.34626606; -0.34626603; -0.34626606;610
0.34626598; -0.34626598;0.34626605; -0.34626605;0.34626603;0.34626606; -0.34626603; -0.34626606;615
0.34626598; -0.34626598;0.34626605; -0.34626605;0.34626603;0.34626606; -0.34626603; -0.34626606;620
0.34626598; -0.34626598;0.34626605; -0.34626605;0.34626602;0.34626606; -0.34626602; -0.34626606;625
0.34626598; -0.34626598;0.34626605; -0.34626605;0.34626602;0.34626606; -0.34626602; -0.34626606;630
0.34626598; -0.34626598;0.34626605; -0.34626605;0.34626602;0.34626606; -0.34626602; -0.34626606;635
0.34626598; -0.34626598;0.34626605; -0.34626605;0.34626602;0.34626606; -0.34626602; -0.34626606;640
0.34626598; -0.34626598;0.34626605; -0.34626605;0.34626602;0.34626606; -0.34626602; -0.34626606;645
0.34626598; -0.34626598;0.34626605; -0.34626605;0.34626602;0.34626606; -0.34626602; -0.34626606;650
0.34626598; -0.34626598;0.34626605; -0.34626605;0.34626602;0.34626606; -0.34626602; -0.34626606;655
0.34626598; -0.34626598;0.34626605; -0.34626605;0.34626602;0.34626606; -0.34626602; -0.34626606;660
0.34626598; -0.34626598;0.34626605; -0.34626605;0.34626602;0.34626605; -0.34626602; -0.34626605;665
0.34626598; -0.34626598;0.34626605; -0.34626605;0.34626602;0.34626605; -0.34626602; -0.34626605;670
0.34626598; -0.34626598;0.34626605; -0.34626605;0.34626602;0.34626605; -0.34626602; -0.34626605;675
0.34626599; -0.34626599;0.34626605; -0.34626605;0.34626602;0.34626605; -0.34626602; -0.34626605;680
0.34626599; -0.34626599;0.34626605; -0.34626605;0.34626602;0.34626605; -0.34626602; -0.34626605;685
0.34626599; -0.34626599;0.34626605; -0.34626605;0.34626602;0.34626605; -0.34626602; -0.34626605;690
0.34626599; -0.34626599;0.34626605; -0.34626605;0.34626602;0.34626605; -0.34626602; -0.34626605;695
0.34626599; -0.34626599;0.34626605; -0.34626605;0.34626602;0.34626605; -0.34626602; -0.34626605;700
