0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 a a 0 a 2 2 a;0 2 2 0 a a a a;a a 2 0 0 2 a a;a 2 a 0 0 a 2 a;0 a 2 a a 2 a 0;0 2 a a a a 2 0;Z
0.49379609;0.49379604;0.00000077;0.00000077; -0.24689687;0.24689687; -0.24689687;0.24689687;0.24689764;0.24689764;0.24689764;0.24689764;305
0.49379603;0.49379598;0.00000071;0.00000071; -0.24689693;0.24689693; -0.24689693;0.24689693;0.24689764;0.24689764;0.24689764;0.24689764;310
0.49379597;0.49379592;0.00000066;0.00000066; -0.24689699;0.24689699; -0.24689699;0.24689699;0.24689764;0.24689764;0.24689764;0.24689764;315
0.49379592;0.49379587;0.00000061;0.00000061; -0.24689704;0.24689704; -0.24689704;0.24689704;0.24689765;0.24689765;0.24689765;0.24689765;320
0.49379588;0.49379583;0.00000056;0.00000056; -0.24689708;0.24689708; -0.24689708;0.24689708;0.24689765;0.24689765;0.24689765;0.24689765;325
0.49379584;0.49379579;0.00000052;0.00000052; -0.24689712;0.24689712; -0.24689712;0.24689712;0.24689765;0.24689765;0.24689765;0.24689765;330
0.49379580;0.49379575;0.00000048;0.00000048; -0.24689716;0.24689716; -0.24689716;0.24689716;0.24689765;0.24689765;0.24689765;0.24689765;335
0.49379576;0.49379571;0.00000045;0.00000045; -0.24689720;0.24689720; -0.24689720;0.24689720;0.24689765;0.24689765;0.24689765;0.24689765;340
0.49379573;0.49379568;0.00000042;0.00000042; -0.24689723;0.24689723; -0.24689723;0.24689723;0.24689765;0.24689765;0.24689765;0.24689765;345
0.49379570;0.49379565;0.00000039;0.00000039; -0.24689726;0.24689726; -0.24689726;0.24689726;0.24689765;0.24689765;0.24689765;0.24689765;350
0.49379568;0.49379563;0.00000036;0.00000036; -0.24689728;0.24689728; -0.24689728;0.24689728;0.24689765;0.24689765;0.24689765;0.24689765;355
0.49379565;0.49379560;0.00000034;0.00000034; -0.24689731;0.24689731; -0.24689731;0.24689731;0.24689765;0.24689765;0.24689765;0.24689765;360
0.49379563;0.49379558;0.00000031;0.00000031; -0.24689733;0.24689733; -0.24689733;0.24689733;0.24689765;0.24689765;0.24689765;0.24689765;365
0.49379561;0.49379556;0.00000029;0.00000029; -0.24689735;0.24689735; -0.24689735;0.24689735;0.24689765;0.24689765;0.24689765;0.24689765;370
0.49379559;0.49379554;0.00000027;0.00000027; -0.24689737;0.24689737; -0.24689737;0.24689737;0.24689765;0.24689765;0.24689765;0.24689765;375
0.49379557;0.49379552;0.00000026;0.00000026; -0.24689739;0.24689739; -0.24689739;0.24689739;0.24689765;0.24689765;0.24689765;0.24689765;380
0.49379556;0.49379551;0.00000024;0.00000024; -0.24689740;0.24689740; -0.24689740;0.24689740;0.24689765;0.24689765;0.24689765;0.24689765;385
0.49379554;0.49379549;0.00000023;0.00000023; -0.24689742;0.24689742; -0.24689742;0.24689742;0.24689765;0.24689765;0.24689765;0.24689765;390
0.49379553;0.49379548;0.00000021;0.00000021; -0.24689743;0.24689743; -0.24689743;0.24689743;0.24689765;0.24689765;0.24689765;0.24689765;395
0.49379551;0.49379547;0.00000020;0.00000020; -0.24689745;0.24689745; -0.24689745;0.24689745;0.24689765;0.24689765;0.24689765;0.24689765;400
0.49379550;0.49379545;0.00000019;0.00000019; -0.24689746;0.24689746; -0.24689746;0.24689746;0.24689765;0.24689765;0.24689765;0.24689765;405
0.49379549;0.49379544;0.00000018;0.00000018; -0.24689747;0.24689747; -0.24689747;0.24689747;0.24689765;0.24689765;0.24689765;0.24689765;410
0.49379548;0.49379543;0.00000017;0.00000017; -0.24689748;0.24689748; -0.24689748;0.24689748;0.24689765;0.24689765;0.24689765;0.24689765;415
0.49379547;0.49379542;0.00000016;0.00000016; -0.24689749;0.24689749; -0.24689749;0.24689749;0.24689765;0.24689765;0.24689765;0.24689765;420
0.49379546;0.49379541;0.00000015;0.00000015; -0.24689750;0.24689750; -0.24689750;0.24689750;0.24689765;0.24689765;0.24689765;0.24689765;425
0.49379545;0.49379541;0.00000014;0.00000014; -0.24689751;0.24689751; -0.24689751;0.24689751;0.24689765;0.24689765;0.24689765;0.24689765;430
0.49379545;0.49379540;0.00000013;0.00000013; -0.24689752;0.24689752; -0.24689752;0.24689752;0.24689765;0.24689765;0.24689765;0.24689765;435
0.49379544;0.49379539;0.00000012;0.00000012; -0.24689752;0.24689752; -0.24689752;0.24689752;0.24689765;0.24689765;0.24689765;0.24689765;440
0.49379543;0.49379538;0.00000012;0.00000012; -0.24689753;0.24689753; -0.24689753;0.24689753;0.24689765;0.24689765;0.24689765;0.24689765;445
0.49379543;0.49379538;0.00000011;0.00000011; -0.24689754;0.24689754; -0.24689754;0.24689754;0.24689765;0.24689765;0.24689765;0.24689765;450
0.49379542;0.49379537;0.00000010;0.00000010; -0.24689754;0.24689754; -0.24689754;0.24689754;0.24689765;0.24689765;0.24689765;0.24689765;455
0.49379542;0.49379537;0.00000010;0.00000010; -0.24689755;0.24689755; -0.24689755;0.24689755;0.24689765;0.24689765;0.24689765;0.24689765;460
0.49379541;0.49379536;0.00000009;0.00000009; -0.24689755;0.24689755; -0.24689755;0.24689755;0.24689765;0.24689765;0.24689765;0.24689765;465
0.49379541;0.49379536;0.00000009;0.00000009; -0.24689756;0.24689756; -0.24689756;0.24689756;0.24689765;0.24689765;0.24689765;0.24689765;470
0.49379540;0.49379535;0.00000008;0.00000008; -0.24689756;0.24689756; -0.24689756;0.24689756;0.24689765;0.24689765;0.24689765;0.24689765;475
0.49379540;0.49379535;0.00000008;0.00000008; -0.24689757;0.24689757; -0.24689757;0.24689757;0.24689765;0.24689765;0.24689765;0.24689765;480
0.49379539;0.49379534;0.00000008;0.00000008; -0.24689757;0.24689757; -0.24689757;0.24689757;0.24689765;0.24689765;0.24689765;0.24689765;485
0.49379539;0.49379534;0.00000007;0.00000007; -0.24689757;0.24689757; -0.24689757;0.24689757;0.24689765;0.24689765;0.24689765;0.24689765;490
0.49379538;0.49379534;0.00000007;0.00000007; -0.24689758;0.24689758; -0.24689758;0.24689758;0.24689765;0.24689765;0.24689765;0.24689765;495
0.49379538;0.49379533;0.00000007;0.00000007; -0.24689758;0.24689758; -0.24689758;0.24689758;0.24689765;0.24689765;0.24689765;0.24689765;500
0.49379538;0.49379533;0.00000006;0.00000006; -0.24689758;0.24689758; -0.24689758;0.24689758;0.24689765;0.24689765;0.24689765;0.24689765;505
0.49379538;0.49379533;0.00000006;0.00000006; -0.24689759;0.24689759; -0.24689759;0.24689759;0.24689765;0.24689765;0.24689765;0.24689765;510
0.49379537;0.49379532;0.00000006;0.00000006; -0.24689759;0.24689759; -0.24689759;0.24689759;0.24689765;0.24689765;0.24689765;0.24689765;515
0.49379537;0.49379532;0.00000005;0.00000005; -0.24689759;0.24689759; -0.24689759;0.24689759;0.24689765;0.24689765;0.24689765;0.24689765;520
0.49379537;0.49379532;0.00000005;0.00000005; -0.24689760;0.24689760; -0.24689760;0.24689760;0.24689765;0.24689765;0.24689765;0.24689765;525
0.49379537;0.49379532;0.00000005;0.00000005; -0.24689760;0.24689760; -0.24689760;0.24689760;0.24689765;0.24689765;0.24689765;0.24689765;530
0.49379536;0.49379531;0.00000005;0.00000005; -0.24689760;0.24689760; -0.24689760;0.24689760;0.24689765;0.24689765;0.24689765;0.24689765;535
0.49379536;0.49379531;0.00000004;0.00000004; -0.24689760;0.24689760; -0.24689760;0.24689760;0.24689765;0.24689765;0.24689765;0.24689765;540
0.49379536;0.49379531;0.00000004;0.00000004; -0.24689760;0.24689760; -0.24689760;0.24689760;0.24689765;0.24689765;0.24689765;0.24689765;545
0.49379536;0.49379531;0.00000004;0.00000004; -0.24689761;0.24689761; -0.24689761;0.24689761;0.24689765;0.24689765;0.24689765;0.24689765;550
0.49379536;0.49379531;0.00000004;0.00000004; -0.24689761;0.24689761; -0.24689761;0.24689761;0.24689765;0.24689765;0.24689765;0.24689765;555
0.49379535;0.49379530;0.00000004;0.00000004; -0.24689761;0.24689761; -0.24689761;0.24689761;0.24689765;0.24689765;0.24689765;0.24689765;560
0.49379535;0.49379530;0.00000004;0.00000004; -0.24689761;0.24689761; -0.24689761;0.24689761;0.24689765;0.24689765;0.24689765;0.24689765;565
0.49379535;0.49379530;0.00000003;0.00000003; -0.24689761;0.24689761; -0.24689761;0.24689761;0.24689765;0.24689765;0.24689765;0.24689765;570
0.49379535;0.49379530;0.00000003;0.00000003; -0.24689761;0.24689761; -0.24689761;0.24689761;0.24689765;0.24689765;0.24689765;0.24689765;575
0.49379535;0.49379530;0.00000003;0.00000003; -0.24689762;0.24689762; -0.24689762;0.24689762;0.24689765;0.24689765;0.24689765;0.24689765;580
0.49379535;0.49379530;0.00000003;0.00000003; -0.24689762;0.24689762; -0.24689762;0.24689762;0.24689765;0.24689765;0.24689765;0.24689765;585
0.49379534;0.49379530;0.00000003;0.00000003; -0.24689762;0.24689762; -0.24689762;0.24689762;0.24689765;0.24689765;0.24689765;0.24689765;590
0.49379534;0.49379529;0.00000003;0.00000003; -0.24689762;0.24689762; -0.24689762;0.24689762;0.24689765;0.24689765;0.24689765;0.24689765;595
0.49379534;0.49379529;0.00000003;0.00000003; -0.24689762;0.24689762; -0.24689762;0.24689762;0.24689765;0.24689765;0.24689765;0.24689765;600
